ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
7933707	7.51e-44	1.39e-46	19.983955	95.4522848	2.9112081	ZWINT	ZW10 interacting kinetochore protein
7911155	8.73e-44	1.65e-46	19.956112	95.2863848	2.9081199	SCCPDH	saccharopine dehydrogenase (putative)
8067221	1.16e-43	2.22e-46	-19.906335	94.9895452	-2.2082886	ZBP1	Z-DNA binding protein 1
8061471	1.38e-43	2.69e-46	19.874771	94.8011616	3.7599266	GINS1	GINS complex subunit 1
8120838	1.96e-43	3.88e-46	19.813658	94.4360708	3.804116	TTK	TTK protein kinase
8003204	3.36e-43	6.79e-46	19.720891	93.8809968	2.8521287	GINS2	GINS complex subunit 2
8019737	3.36e-43	6.87e-46	19.719018	93.8697773	2.6018547	KPNA2	karyopherin subunit alpha 2
7985873	3.38e-43	7.02e-46	19.715493	93.8486617	3.5442166	TICRR	TOPBP1 interacting checkpoint and replication regulator
8054702	3.75e-43	7.89e-46	19.695932	93.7314728	3.8093587	CKAP2L	cytoskeleton associated protein 2 like
8064844	4.00e-43	8.54e-46	19.682952	93.6536815	2.8606032	PCNA	proliferating cell nuclear antigen
7997839	8.49e-43	1.84e-45	19.556079	92.8922319	2.4563588	CDT1	chromatin licensing and DNA replication factor 1
7940565	9.60e-43	2.11e-45	19.533526	92.7566675	3.3893176	FADS2	fatty acid desaturase 2
8152668	1.26e-42	2.81e-45	19.48631	92.4726621	2.5782207	ATAD2	ATPase family, AAA domain containing 2
8140955	1.39e-42	3.14e-45	19.467838	92.3614785	3.2610422	CDK6	cyclin dependent kinase 6
7914878	2.13e-42	4.87e-45	19.395627	91.9264343	3.6953824	CLSPN///CLSPN	claspin///claspin
7947110	2.49e-42	5.77e-45	19.367602	91.7574261	3.2998839	E2F8	E2F transcription factor 8
8143663	4.62e-42	1.09e-44	19.263741	91.1302481	2.6847119	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit
8003298	8.03e-42	1.91e-44	19.170858	90.568263	2.8481196	SLC7A5	solute carrier family 7 member 5
8112260	8.51e-42	2.05e-44	19.159099	90.4970399	3.4981973	DEPDC1B	DEP domain containing 1B
8104234	1.29e-41	3.15e-44	19.089016	90.0722213	3.3144533	TRIP13	thyroid hormone receptor interactor 13
7927710	1.45e-41	3.58e-44	19.068257	89.9462746	4.135611	CDK1	cyclin dependent kinase 1
8108301	2.02e-41	5.06e-44	19.01161	89.6023372	4.0491817	KIF20A	kinesin family member 20A
8040223	2.09e-41	5.29e-44	19.004232	89.5575113	3.3340302	RRM2	ribonucleotide reductase regulatory subunit M2
8179174	2.10e-41	5.40e-44	19.000891	89.5372064	1.7254013	TUBB	tubulin beta class I
7982757	2.30e-41	5.98e-44	18.984329	89.4365565	3.7005445	KNL1	kinetochore scaffold 1
8168146	3.67e-41	9.66e-44	18.905976	88.9599368	3.7729258	KIF4A	kinesin family member 4A
7915926	3.90e-41	1.04e-43	18.894216	88.888338	3.107466	STIL	SCL/TAL1 interrupting locus
8065710	4.36e-41	1.17e-43	18.874416	88.767756	1.6890792	E2F1	E2F transcription factor 1
7929438	5.63e-41	1.53e-43	18.830693	88.501315	3.588831	HELLS	helicase, lymphoid-specific
8145570	7.11e-41	1.96e-43	18.790983	88.2591301	3.857429	ESCO2	establishment of sister chromatid cohesion N-acetyltransferase 2
7949364	1.17e-40	3.28e-43	18.706851	87.7454168	2.6763875	CDCA5	cell division cycle associated 5
7978846	1.17e-40	3.29e-43	18.706492	87.743222	2.7664673	POLE2	DNA polymerase epsilon 2, accessory subunit
8179564	1.20e-40	3.42e-43	18.700449	87.7062901	3.4205746	KIFC1	kinesin family member C1
8145418	1.37e-40	3.94e-43	18.677218	87.5642788	3.9684709	CDCA2	cell division cycle associated 2
8008784	1.38e-40	4.02e-43	18.673893	87.543946	3.0712954	PRR11	proline rich 11
8112327	1.63e-40	4.78e-43	18.645945	87.373005	2.9786247	CKS1B	CDC28 protein kinase regulatory subunit 1B
8124521	1.68e-40	4.98e-43	18.639244	87.3320049	2.4663019	HIST1H4J///HIST1H4K///HIST1H4J///HIST1H4K	histone cluster 1, H4j///histone cluster 1, H4k///histone cluster 1, H4j///histone cluster 1, H4k
7901192	2.01e-40	6.04e-43	18.607854	87.1398733	2.7696233	RAD54L	RAD54-like (S. cerevisiae)
7919612	2.32e-40	7.05e-43	18.582893	86.9870132	2.9867192	HIST2H3D///HIST2H3A///HIST2H3C	histone cluster 2, H3d///histone cluster 2, H3a///histone cluster 2, H3c
7955736	3.35e-40	1.03e-42	18.522233	86.6152373	2.5307935	ESPL1	extra spindle pole bodies like 1, separase
7929334	4.93e-40	1.53e-42	18.457876	86.2203336	3.6022897	CEP55	centrosomal protein 55
8118259	5.18e-40	1.62e-42	18.448215	86.1610096	2.0401449	MSH5-SAPCD1///MSH5	MSH5-SAPCD1 readthrough (NMD candidate)///mutS homolog 5
8007071	6.10e-40	1.92e-42	18.420312	85.9896159	3.9535749	CDC6	cell division cycle 6
8083709	8.45e-40	2.69e-42	18.366066	85.6561548	1.7203792	SMC4	structural maintenance of chromosomes 4
7916282	9.18e-40	2.96e-42	18.351041	85.5637295	2.0200695	LRP8	LDL receptor related protein 8
8024843	9.33e-40	3.03e-42	18.346957	85.5386079	2.114089	CHAF1A	chromatin assembly factor 1 subunit A
7916167	1.20e-39	3.94e-42	18.304579	85.2777762	2.8709123	ORC1	origin recognition complex subunit 1
8034122	1.38e-39	4.58e-42	18.280384	85.1287633	3.0898009	SPC24	SPC24, NDC80 kinetochore complex component
7968484	1.77e-39	5.91e-42	18.239358	84.8759432	2.6492897	BRCA2	BRCA2, DNA repair associated
8155214	2.31e-39	7.80e-42	18.194562	84.5996781	3.8526561	MELK	maternal embryonic leucine zipper kinase
7958031	2.48e-39	8.44e-42	18.181942	84.5218095	2.7812443	PARPBP	PARP1 binding protein
7948612	2.58e-39	8.87e-42	18.173952	84.4724977	3.2516776	FADS1	fatty acid desaturase 1
8117225	3.28e-39	1.14e-41	18.134036	84.2260434	2.728014	GMNN	geminin, DNA replication inhibitor
8162601	4.62e-39	1.61e-41	18.077715	83.8779947	1.9401258	ZNF367	zinc finger protein 367
8097857	5.02e-39	1.77e-41	18.062738	83.7853799	3.2782962	MND1	meiotic nuclear divisions 1
8003503	1.03e-38	3.66e-41	17.946172	83.0637245	1.9261269	FANCA	Fanconi anemia complementation group A
8068478	1.23e-38	4.43e-41	17.915669	82.8746284	2.6852496	CHAF1B	chromatin assembly factor 1 subunit B
8036136	1.76e-38	6.37e-41	-17.857688	82.5149149	-1.7455479	IGFLR1	IGF like family receptor 1
7947248	2.32e-38	8.47e-41	17.812063	82.2316043	2.939434	KIF18A	kinesin family member 18A
7967736	2.45e-38	9.03e-41	17.80174	82.1674687	1.9789659	POLE	DNA polymerase epsilon, catalytic subunit
8093539	3.26e-38	1.21e-40	17.755086	81.8774756	1.9845124	WHSC1	Wolf-Hirschhorn syndrome candidate 1
7975412	4.74e-38	1.78e-40	-17.693796	81.496151	-1.582034	TTC9	tetratricopeptide repeat domain 9
7919642	6.29e-38	2.37e-40	17.647582	81.2083607	2.3512928	HIST2H2AB///HIST2H2AB	histone cluster 2, H2ab///histone cluster 2, H2ab
7901010	6.33e-38	2.41e-40	17.645283	81.1940347	3.4752383	KIF2C	kinesin family member 2C
8083092	6.63e-38	2.54e-40	-17.636497	81.1392965	-3.2838102	ZBTB38	zinc finger and BTB domain containing 38
8102076	1.07e-37	4.16e-40	17.558235	80.6513094	3.0382449	CENPE	centromere protein E
8040578	1.13e-37	4.40e-40	17.549349	80.5958646	2.3765402	CENPO	centromere protein O
8006187	1.21e-37	4.76e-40	17.536571	80.5161124	2.4869012	ATAD5	ATPase family, AAA domain containing 5
8112902	1.44e-37	5.69e-40	17.508217	80.3390922	2.4735728	DHFR	dihydrofolate reductase
7956076	3.07e-37	1.23e-39	17.386398	79.577584	2.2153108	CDK2	cyclin dependent kinase 2
8110450	5.45e-37	2.19e-39	17.294104	78.9996122	1.7337972	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B
8073858	7.19e-37	2.91e-39	17.248984	78.7167363	2.7660978	GTSE1	G2 and S-phase expressed 1
8089372	8.04e-37	3.28e-39	17.230055	78.5980042	2.7948118	KIAA1524	KIAA1524
7982287	1.30e-36	5.34e-39	17.153229	78.1157199	3.0116356	ARHGAP11B	Rho GTPase activating protein 11B
7914851	1.30e-36	5.40e-39	17.15152	78.1049829	2.9814657	CLSPN	claspin
8105828	1.48e-36	6.20e-39	17.129501	77.966648	4.1749029	CCNB1	cyclin B1
8062766	1.54e-36	6.46e-39	17.123058	77.9261592	3.0240948	MYBL2	MYB proto-oncogene like 2
8129045	1.86e-36	7.89e-39	17.09154	77.7280309	1.2872897	HDAC2	histone deacetylase 2
7979281	2.20e-36	9.37e-39	17.064266	77.5565057	3.3299185	WDHD1	WD repeat and HMG-box DNA binding protein 1
8144153	2.28e-36	9.82e-39	17.056843	77.5098079	3.2173596	NCAPG2	non-SMC condensin II complex subunit G2
8002762	2.87e-36	1.24e-38	17.019634	77.2756487	1.5370163	RFWD3	ring finger and WD repeat domain 3
8052269	2.94e-36	1.28e-38	17.014965	77.2462541	2.5768038	CCDC88A	coiled-coil domain containing 88A
8113504	2.97e-36	1.31e-38	17.011854	77.2266725	3.4951854	NREP	neuronal regeneration related protein
7965094	4.11e-36	1.82e-38	16.959651	76.8978823	3.2497991	E2F7	E2F transcription factor 7
8170468	5.25e-36	2.34e-38	16.920111	76.6486724	2.0594002	HMGB3	high mobility group box 3
7955195	5.25e-36	2.36e-38	16.918811	76.640473	2.2633089	TROAP	trophinin associated protein
7959408	5.98e-36	2.71e-38	16.897027	76.5031057	2.3845597	KNTC1	kinetochore associated 1
7924096	5.98e-36	2.72e-38	16.8962	76.4978914	2.7973071	NEK2	NIMA related kinase 2
7937915	6.15e-36	2.81e-38	16.890816	76.4639285	2.6906051	RRM1	ribonucleotide reductase catalytic subunit M1
8012403	7.34e-36	3.39e-38	16.861752	76.2805634	2.2417639	AURKB	aurora kinase B
8001133	7.79e-36	3.62e-38	16.851374	76.2150716	3.7774516	SHCBP1	SHC binding and spindle associated 1
7960117	1.22e-35	5.70e-38	16.779835	75.763305	1.8260146	PXMP2	peroxisomal membrane protein 2
7963157	1.59e-35	7.47e-38	16.737226	75.4939972	2.4913039	RACGAP1	Rac GTPase activating protein 1
7991374	1.78e-35	8.47e-38	16.717519	75.3693815	1.5757088	IDH2	isocitrate dehydrogenase (NADP(+)) 2, mitochondrial
8039928	1.78e-35	8.49e-38	16.717181	75.3672463	3.8118423	FAM72A///FAM72D///FAM72B	family with sequence similarity 72 member A///family with sequence similarity 72 member D///family with sequence similarity 72 member B
7994109	2.05e-35	9.82e-38	16.694331	75.2227073	3.3079808	PLK1	polo like kinase 1
8010260	2.42e-35	1.17e-37	16.666929	75.049312	2.7930509	BIRC5	baculoviral IAP repeat containing 5
7939242	3.01e-35	1.46e-37	16.631631	74.8258482	1.0235619	CAPRIN1	cell cycle associated protein 1
7996211	3.49e-35	1.70e-37	16.607833	74.67512	2.6334301	GINS3	GINS complex subunit 3
7934026	4.05e-35	1.99e-37	16.583278	74.5195476	2.7351617	DNA2	DNA replication helicase/nuclease 2
8025788	4.07e-35	2.01e-37	16.581692	74.5094958	1.4997857	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
8156982	4.11e-35	2.05e-37	16.579102	74.4930807	2.9754024	SMC2	structural maintenance of chromosomes 2
7968563	4.49e-35	2.25e-37	16.564185	74.398536	2.4394101	RFC3	replication factor C subunit 3
8121911	7.84e-35	3.95e-37	16.476016	73.8392909	2.9667352	CENPW	centromere protein W
8143643	8.04e-35	4.08e-37	-16.470937	73.8070505	-2.2715801	TPK1	thiamin pyrophosphokinase 1
8076393	8.09e-35	4.13e-37	16.469125	73.7955481	1.9668965	CENPM	centromere protein M
7921133	8.23e-35	4.23e-37	16.465482	73.7724259	1.3351689	HDGF	hepatoma-derived growth factor
7900510	1.31e-34	6.75e-37	16.392151	73.3066806	2.8250817	CTPS1	CTP synthase 1
7995354	1.56e-34	8.10e-37	16.363786	73.1263976	2.8918954	ORC6	origin recognition complex subunit 6
7923426	2.48e-34	1.30e-36	16.290124	72.6578772	3.2735319	UBE2T	ubiquitin conjugating enzyme E2 T
8156290	2.55e-34	1.34e-36	16.284955	72.6249834	2.7394799	CKS2	CDC28 protein kinase regulatory subunit 2
8152582	2.61e-34	1.38e-36	16.280572	72.5970895	3.1333166	DSCC1	DNA replication and sister chromatid cohesion 1
8020468	3.65e-34	1.94e-36	16.227143	72.2569097	2.5099065	RBBP8	RB binding protein 8, endonuclease
7991777	4.79e-34	2.56e-36	16.183905	71.9814352	2.4479729	C4orf46	chromosome 4 open reading frame 46
7956819	5.12e-34	2.76e-36	-16.172499	71.9087396	-2.4927257	RASSF3	Ras association domain family member 3
7900699	5.14e-34	2.78e-36	16.171208	71.9005122	2.9515729	CDC20	cell division cycle 20
7900167	6.03e-34	3.28e-36	16.145386	71.7358898	2.4215051	CDCA8	cell division cycle associated 8
8163063	6.62e-34	3.63e-36	16.129882	71.6370207	2.4561071	CTNNAL1	catenin alpha like 1
8109712	7.50e-34	4.13e-36	16.109666	71.5080739	3.2965712	HMMR	hyaluronan mediated motility receptor
8003844	1.08e-33	5.99e-36	16.051604	71.1375245	2.0555194	GSG2	germ cell associated 2, haspin
7973936	1.28e-33	7.12e-36	16.024752	70.966065	1.9074683	PSMA6	proteasome subunit alpha 6
8026047	1.78e-33	9.99e-36	-15.972119	70.629799	-2.9835743	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit
7981525	1.92e-33	1.08e-35	15.9597	70.5504246	1.5526233	CDCA4	cell division cycle associated 4
7987636	2.07e-33	1.17e-35	15.946991	70.4691776	2.4364856	OIP5	Opa interacting protein 5
8062908	2.83e-33	1.61e-35	-15.897763	70.1543621	-1.3830524	STK4	serine/threonine kinase 4
8058695	3.12e-33	1.78e-35	15.881961	70.0532619	2.1975972	BARD1	BRCA1 associated RING domain 1
7906613	3.20e-33	1.84e-35	-15.877207	70.0228447	-3.1903265	SLAMF7	SLAM family member 7
7960702	5.73e-33	3.33e-35	15.785268	69.434202	2.2304056	CDCA3	cell division cycle associated 3
7932420	5.73e-33	3.35e-35	15.784422	69.4287791	2.8097488	HACD1	3-hydroxyacyl-CoA dehydratase 1
8002194	5.73e-33	3.35e-35	-15.7842	69.4273582	-2.5080201	DPEP2	dipeptidase 2
8019857	8.95e-33	5.26e-35	15.714285	68.9792704	2.9194009	NDC80	NDC80, kinetochore complex component
8018849	1.00e-32	5.92e-35	15.695875	68.8612122	2.2004882	TK1	thymidine kinase 1
8130539	1.04e-32	6.20e-35	-15.688826	68.8160009	-3.8337703	TAGAP	T-cell activation RhoGTPase activating protein
8102560	1.27e-32	7.56e-35	15.658116	68.6189996	3.3102427	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)
8141395	1.43e-32	8.60e-35	15.638159	68.4909337	1.8924194	MCM7	minichromosome maintenance complex component 7
7952179	1.89e-32	1.14e-34	15.59469	68.2118892	1.3250535	H2AFX	H2A histone family member X
8055426	2.08e-32	1.26e-34	15.578955	68.1108443	3.33807	MCM6	minichromosome maintenance complex component 6
8007569	3.43e-32	2.09e-34	15.500531	67.6069602	1.3752484	C17orf53	chromosome 17 open reading frame 53
8047288	3.67e-32	2.25e-34	15.489368	67.5352011	2.4493176	SGO2	shugoshin 2
8028119	4.24e-32	2.61e-34	15.466296	67.3868542	1.3970315	WDR62	WD repeat domain 62
8110327	7.02e-32	4.34e-34	-15.387796	66.8818241	-1.4402948	RGS14	regulator of G-protein signaling 14
8083090	7.34e-32	4.56e-34	-15.380088	66.8322138	-3.6896265	ZBTB38	zinc finger and BTB domain containing 38
7947694	7.71e-32	4.82e-34	15.371718	66.778331	2.1181892	CKAP5	cytoskeleton associated protein 5
7919888	9.25e-32	5.81e-34	-15.342892	66.592737	-2.1353321	CDC42SE1	CDC42 small effector 1
7943919	9.77e-32	6.16e-34	-15.333705	66.5335773	-2.0259912	TTC12	tetratricopeptide repeat domain 12
7974404	1.46e-31	9.24e-34	15.271205	66.1309348	3.195973	CDKN3	cyclin dependent kinase inhibitor 3
8117583	1.68e-31	1.07e-33	15.248638	65.9854858	3.0625137	HIST1H3H///HIST1H2AI	histone cluster 1, H3h///histone cluster 1, H2ai
8127031	1.72e-31	1.10e-33	15.244481	65.9586893	2.4063897	MCM3	minichromosome maintenance complex component 3
8129637	1.75e-31	1.13e-33	-15.240413	65.9324653	-4.3692666	VNN2	vanin 2
7952830	2.17e-31	1.40e-33	15.207054	65.7173732	2.0045378	NCAPD3	non-SMC condensin II complex subunit D3
8005839	2.29e-31	1.49e-33	15.197946	65.6586349	2.3795148	TMEM97	transmembrane protein 97
8031913	2.32e-31	1.51e-33	15.195338	65.6418141	1.1052913	TRIM28	tripartite motif containing 28
8032491	2.48e-31	1.63e-33	15.183972	65.5685029	1.6568356	LMNB2	lamin B2
7930074	2.90e-31	1.91e-33	-15.159011	65.4074757	-1.6858424	NFKB2	nuclear factor kappa B subunit 2
7899462	3.08e-31	2.04e-33	15.149326	65.3449849	1.9224486	RCC1///SNHG3///RCC1	regulator of chromosome condensation 1///small nucleolar RNA host gene 3///regulator of chromosome condensation 1
8037144	3.15e-31	2.10e-33	-15.145063	65.3174769	-1.5755848	DEDD2	death effector domain containing 2
8156341	3.75e-31	2.51e-33	15.117475	65.1394236	1.6023516	CENPP	centromere protein P
7986068	3.84e-31	2.58e-33	15.11326	65.1122191	2.4266961	BLM	Bloom syndrome RecQ like helicase
7998886	4.45e-31	3.00e-33	15.089677	64.959972	1.7005997	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1
8040712	4.50e-31	3.05e-33	15.087185	64.9438772	2.3214525	SLC35F6///CENPA	solute carrier family 35 member F6///centromere protein A
8109484	4.90e-31	3.34e-33	15.073396	64.8548422	2.1368163	KIF4B///KIF4A	kinesin family member 4B///kinesin family member 4A
8114425	5.77e-31	3.95e-33	15.047403	64.6869677	2.3119159	CDC25C	cell division cycle 25C
8030641	5.77e-31	3.97e-33	15.046885	64.6836177	1.4489559	POLD1	DAN polymerase delta 1, catalytic subunit
8166525	7.34e-31	5.06e-33	15.009299	64.4407931	2.4549401	POLA1	DNA polymerase alpha 1, catalytic subunit
8122773	8.55e-31	5.92e-33	14.985136	64.2846395	1.8540826	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like
7973036	9.21e-31	6.41e-33	14.972939	64.2058028	2.0405086	PARP2	poly(ADP-ribose) polymerase 2
8102389	9.75e-31	6.81e-33	14.963622	64.1455787	2.1379384	ZGRF1	zinc finger GRF-type containing 1
7973618	1.03e-30	7.25e-33	-14.954011	64.0834448	-2.1162335	IRF9	interferon regulatory factor 9
8160771	1.41e-30	9.97e-33	14.905223	63.7679456	1.7597826	KIF24	kinesin family member 24
7994659	1.55e-30	1.10e-32	-14.890248	63.6710772	-1.8818533	MVP	major vault protein
7970624	1.61e-30	1.14e-32	14.884212	63.6320324	1.9941745	CENPJ	centromere protein J
8016194	2.11e-30	1.51e-32	-14.841454	63.3553544	-1.1748275	MAP3K14	mitogen-activated protein kinase kinase kinase 14
8087513	2.41e-30	1.73e-32	14.820582	63.2202632	1.5254821	TRAIP	TRAF interacting protein
8012416	2.87e-30	2.07e-32	-14.793231	63.0431897	-1.5891167	LINC00324	long intergenic non-protein coding RNA 324
8071020	2.90e-30	2.10e-32	14.790669	63.0266051	1.2371558	C21orf58	chromosome 21 open reading frame 58
8132369	2.96e-30	2.15e-32	14.786889	63.002125	2.2629445	EPDR1	ependymin related 1
8047187	2.97e-30	2.17e-32	14.785907	62.995768	1.7926868	CCDC150	coiled-coil domain containing 150
7913852	3.04e-30	2.23e-32	14.781203	62.9653071	1.9702518	AUNIP	aurora kinase A and ninein interacting protein
8135480	3.04e-30	2.24e-32	-14.781082	62.964527	-1.5289868	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9
8119582	3.18e-30	2.35e-32	-14.773289	62.9140598	-1.4474105	GLTSCR1L	GLTSCR1 like
8057990	3.76e-30	2.79e-32	-14.747147	62.7447492	-2.8005646	ANKRD44	ankyrin repeat domain 44
7926319	4.20e-30	3.14e-32	14.728967	62.6269795	2.3137111	SUV39H2	suppressor of variegation 3-9 homolog 2
7961026	4.20e-30	3.15e-32	14.728631	62.6248045	3.1819523	OVOS///OVOS2	ovostatin///ovostatin 2
7901363	5.73e-30	4.31e-32	14.680636	62.3138067	1.8777736	CDKN2C	cyclin dependent kinase inhibitor 2C
8065738	6.21e-30	4.69e-32	14.66762	62.2294431	1.8916109	AHCY	adenosylhomocysteinase
8131143	6.73e-30	5.10e-32	-14.654566	62.1448243	-1.9245653	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
7964522	7.43e-30	5.65e-32	14.638907	62.0433111	1.9682826	CDK4	cyclin dependent kinase 4
8179228	9.23e-30	7.05e-32	14.605026	61.8236158	2.2461999	TCF19	transcription factor 19
7938366	1.08e-29	8.30e-32	14.579947	61.6609573	2.775144	WEE1	WEE1 G2 checkpoint kinase
8130211	1.19e-29	9.17e-32	-14.564817	61.5628171	-2.1500563	SYNE1	spectrin repeat containing nuclear envelope protein 1
