Gene.symbol	Gene.ID	adj.P.Val	logFC
KIF4B///KIF4A	285643///24137	1.94539737283404e-11	1.29674081636168
GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8N///GOLGA8IP///ULK4P1///CHRFAM7A	728047///653720///653125///653075///653073///643699///283796///89838///89832	2.02611685823125e-11	1.69962692539569
VAT1	10493	2.15084431858502e-11	1.11949826395125
MAMDC2	256691	2.19372919865054e-11	4.03101040741497
FAM234A	83986	2.31716952698133e-11	0.815924609741498
TIE1	7075	2.43548278573891e-11	1.68926053299887
CENPW	387103	2.84566110845486e-11	1.67478788504762
AUNIP	79000	2.89933879002224e-11	1.29248839194785
B3GALNT1	8706	2.89933879002224e-11	1.96752023587528
DSCC1	79075	2.94605579419997e-11	1.54633170797619
CEP85L	387119	2.96033894351251e-11	-2.09348870784807
NCAPH	23397	3.04019746305355e-11	1.93840420835828
XRCC2	7516	3.49389507715755e-11	2.23132431801814
HDGF	3068	3.49389507715755e-11	1.04214101432313
ERLIN1	10613	3.4968360460733e-11	2.14276105773923
TEC	7006	4.04365697277822e-11	2.43482497904989
MNS1	55329	4.17917961656475e-11	1.94453583457256
HMGB3	3149	4.20972038807013e-11	1.77049704193084
CKAP2L	150468	4.67352464242652e-11	1.89476618703969
TTC9	23508	4.69415746438469e-11	-1.47383076726984
SLC27A2	11001	4.89343994423737e-11	2.87837900868934
DNAJC12	56521	5.24549395391055e-11	1.90480798774603
TRIM62	55223	5.44604431642994e-11	-1.01089374266327
MAFG	4097	5.54797432568188e-11	1.83407314553288
IFT122	55764	6.00998758051044e-11	1.20053715837982
TAGAP	117289	6.036294661145e-11	-1.93331928934807
CA1	759	6.21648849586122e-11	4.08730611956349
DDX58	23586	6.27764070385618e-11	-2.31890457755782
CCDC150	284992	6.77731261173709e-11	0.763345556757371
SMIM3	85027	7.13115640643983e-11	2.36945847277325
KIAA0355	9710	7.17963673452696e-11	-1.64764240238775
MTHFD1L	25902	7.44560986239299e-11	1.19899460010091
CCNB1	891	7.44560986239299e-11	2.88296874581746
SPC24	147841	7.46130231999298e-11	1.57152470454649
HACD1	9200	7.46130231999298e-11	2.43456299142517
ATP8B4	79895	7.46710473650532e-11	4.94131554926645
TINF2	26277	7.56308859567965e-11	-0.979884696379816
GVINP1	387751	8.11748219117299e-11	-2.67165897819841
DEPDC1	55635	8.22800661621351e-11	2.08897944087528
METTL25	84190	8.60804348406294e-11	-1.01310756669615
GINS1	9837	8.63085731296864e-11	2.30885823746826
PSMD1	5707	9.55870274703520e-11	1.2597136919093
RAD51AP1	10635	1.09893544348743e-10	2.23439844010431
ZC3H6	376940	1.1396232800303e-10	-1.3089759475907
SYNRG	11276	1.1396232800303e-10	-1.52326725604875
SNORD52	26797	1.17616240555533e-10	1.88990420896146
BRIP1	83990	1.25466938252283e-10	2.23355514603628
		1.25780189927134e-10	-2.82076337907936
HCP5	10866	1.26165210017292e-10	-2.1242284256712
BTBD3	22903	1.31576934747991e-10	2.6249937758152
E2F7	144455	1.40632580943243e-10	1.52067328431633
IQCJ-SCHIP1///SCHIP1	100505385///29970	1.43602793563046e-10	2.98840263598186
NUAK2	81788	1.57128460961086e-10	-2.79883463635941
FAM65B	9750	1.58619737215083e-10	-2.5367165647381
SOX4	6659	1.58619737215083e-10	2.19879889168594
PARP12	64761	1.61158214890261e-10	-1.65983849209864
CYTL1	54360	1.72793056514186e-10	2.56250573951587
HDLBP	3069	1.7319194657285e-10	0.776226100970524
CLU	1191	1.84679066481631e-10	2.87071390229365
KCTD7	154881	1.85598992253299e-10	-1.80992584584354
KIFC1	3833	1.85598992253299e-10	1.77754236941043
MSRB3	253827	1.88352520821282e-10	3.33957525768254
HIST1H4J///HIST1H4K///HIST1H4J///HIST1H4K	8363///8362///8363///8362	1.96540935475541e-10	1.79008121320975
CPT1A	1374	2.04038802263447e-10	1.85151074868481
AKR1C3	8644	2.04038802263447e-10	3.35897752504989
CDCA7	83879	2.04708781751793e-10	2.44337689993425
CAPRIN1	4076	2.11220460083969e-10	0.948071743549887
TEX30	93081	2.11220460083969e-10	1.66368339228231
RNF220	55182	2.11220460083969e-10	1.72823520442177
LPAR4	2846	2.16445991074904e-10	1.88703198399887
AKTIP	64400	2.26582800099067e-10	-2.53454908048866
MAML2///MAML2	84441///84441	2.27854633107576e-10	-3.03228845008163
CRISPLD1	83690	2.35125723201541e-10	2.07744433405329
IGSF10	285313	2.35707227277083e-10	3.10337514562472
ACTG1	71	2.35707227277083e-10	0.636103377653065
ENTPD4	9583	2.35707227277083e-10	-0.917005286879817
IL16	3603	2.38707352812059e-10	-1.30454265421088
RPS6KB2	6199	2.41432668446809e-10	-0.775976395074826
FAH	2184	2.41432668446809e-10	2.08797664166667
NPR3	4883	2.46296695037679e-10	3.84670478722336
NOCT	25819	2.51078808948868e-10	1.66469967612131
C1orf186	440712	2.57914346730052e-10	2.44328734627891
SHCBP1	79801	2.59013453352308e-10	2.52342777230726
STMN1	3925	2.78354048014502e-10	2.78817411842404
GLTSCR1L	23506	2.78354048014502e-10	-1.32884184800567
NUP93	9688	2.78354048014502e-10	0.879312534292518
TNFRSF14	8764	2.78354048014502e-10	-1.24890364181746
MLC1	23209	2.9584627349469e-10	2.57996738389683
ERBIN	55914	3.06284342030875e-10	-1.30106296708163
AQP1///AQP1	358///358	3.08339672044332e-10	1.37456685901134
NME4	4833	3.13158938705286e-10	1.00757558822336
FAM72A///FAM72D///FAM72B	729533///728833///653820	3.30269971685305e-10	2.37433039602154
S1PR4	8698	3.63755921883548e-10	-1.84903891764966
GPR155	151556	3.91666986904178e-10	-2.97689855293424
BMP1	649	4.14982490996427e-10	1.32091746861565
FBXO33	254170	4.2622742699022e-10	-1.32344650877211
TGFBR2	7048	4.45802429674744e-10	-1.82104541156123
CEP85	64793	4.57027171720953e-10	1.29500759308164
SLC35E2B	728661	4.93109607167594e-10	-0.804608371880952
FASN	2194	4.93109607167594e-10	0.948485873851474
STEAP3	55240	5.41210135835182e-10	1.45632606607256
RFC3	5983	5.47523066422489e-10	1.62063597049773
C7orf26	79034	5.48201290204481e-10	-0.768018273727892
KIAA0368	23392	5.50230299351329e-10	0.904872194850343
IL18	3606	5.8975457375877e-10	3.31645985812472
HIST2H2AA4///HIST2H2AB///HIST2H2AC///HIST2H2AA3	723790///317772///8338///8337	5.95596160495608e-10	1.74974611286281
HIST1H3H///HIST1H2AI	8357///8329	6.0179412279615e-10	2.26119410765533
HMGXB4	10042	6.19837608045858e-10	0.906493618472788
ZNF660	285349	6.77109100760647e-10	2.01668654406236
LOC100130744	100130744	6.83989096331052e-10	-1.15259168088209
HNRNPAB	3182	6.94949465097026e-10	1.50203541267688
BUB1	699	6.94949465097026e-10	2.24992873509978
PTGR1	22949	6.94949465097026e-10	1.68143568281406
SLC17A9	63910	7.14924717770573e-10	1.70286403080952
UCK2	7371	7.14924717770573e-10	2.03679623972789
RRM2	6241	7.14924717770573e-10	2.11699722487642
CENPJ	55835	7.42990611837708e-10	1.79805713187075
GGH	8836	7.48697967449674e-10	2.19094786771996
DNMT3B	1789	7.48697967449674e-10	1.84456217686395
NPR3	4883	7.48697967449674e-10	3.95660212524943
ATAD2	29028	7.91768942137956e-10	1.57632037393197
WDHD1	11169	7.92372307709767e-10	2.22210068474603
THAP5	168451	8.26795836258198e-10	-1.79293227160771
MLEC	9761	8.31339512079926e-10	1.28869866658163
PARPBP	55010	8.84862271855269e-10	1.58231573730386
MSH5-SAPCD1///MSH5	100532732///4439	9.39772791377332e-10	1.64889663204195
ZBTB8B///ZBTB8A	728116///653121	9.84455467211257e-10	1.59690331776644
PPP2R5C	5527	1.0961090284974e-09	-1.78094679972562
CDK6	1021	1.1009922101567e-09	2.95157788754195
HSPA5	3309	1.12039364378862e-09	1.11650609820182
PCBD1	5092	1.1311622693627e-09	1.665978692661
WDR41	55255	1.14966415640233e-09	1.62073995873923
NT5DC3	51559	1.2013795426712e-09	1.63980311444218
HIST1H3B	8358	1.22093655214963e-09	3.20618480107483
NRIP3	56675	1.22093655214963e-09	1.888527976983
SLC37A3	84255	1.23452160009118e-09	-2.25432798813038
LOC100131541	100131541	1.24480592060393e-09	-2.07188390227211
		1.25300460866992e-09	2.78375587689796
PRELID2	153768	1.26888593280945e-09	2.37150206776191
GINS2	51659	1.26940885096615e-09	1.95067830166894
RNF167	26001	1.28111911323292e-09	-0.953371509044215
CDCA3	83461	1.32410097662055e-09	1.15962826653515
RAB13	5872	1.37355770511074e-09	2.39548287940476
SLC39A11	201266	1.39246473972841e-09	1.33794353134468
CAPN11	11131	1.41581349942917e-09	1.105277305661
B3GALT4	8705	1.49378135737652e-09	-1.04411296562358
SLC1A3	6507	1.52927523784069e-09	1.56920237468935
NUSAP1	51203	1.57427905132721e-09	2.19594652683334
KPNA2	3838	1.57427905132721e-09	1.97053396128345
CHAF1B	8208	1.57774548402464e-09	1.60222509036621
HDAC2	3066	1.57774548402464e-09	0.880996475849208
KIAA1551	55196	1.64578870585522e-09	-2.35586459494557
GCSHP3///LOC729080///LOC641746///GCSH	100329109///729080///641746///2653	1.88541603619581e-09	1.33816277267007
AKNA	80709	1.91289211416517e-09	-1.14006338994218
PATL2	197135	1.95791688307226e-09	-1.80930703638662
CCM2	83605	1.9594607018227e-09	-1.22191045064059
ZNF788	388507	2.00470923028077e-09	1.44361279251814
PRTN3	5657	2.00859009752946e-09	1.72690567733674
FSCN1	6624	2.07334196854645e-09	1.52166938328798
STIL	6491	2.18357815292228e-09	1.69696632443538
ERI2	112479	2.242014724531e-09	1.51276345009751
BSG	682	2.29141533179043e-09	1.28914738652494
RACGAP1	29127	2.52876281759752e-09	1.24879916500227
LOC100996333///ADGRA3	100996333///166647	2.53110755474752e-09	2.8340477885034
CCDC26	137196	2.53668706744978e-09	1.12955521448186
ARSG	22901	2.53668706744978e-09	-2.28866524017233
KIAA0922	23240	2.63376233649282e-09	-1.15085788092404
LOC728392///NLRP1	728392///22861	2.68118986381327e-09	-1.75707584907256
ADAM19	8728	2.72783576031924e-09	-2.70379740020295
USP49	25862	2.72783576031924e-09	0.974204564318595
PACS1	55690	2.76232434355066e-09	-1.50794426631859
PLK1	5347	2.76232434355066e-09	1.91021684922676
TROAP	10024	2.78521514954158e-09	1.26070622407596
BIRC5	332	2.78521514954158e-09	1.3871809408254
NREP	9315	2.88389295848648e-09	3.03882826571655
HIVEP2	3097	3.08541534001132e-09	-2.51260306338209
CMBL	134147	3.08541534001132e-09	2.25167983868027
SH3BP5	9467	3.08541534001132e-09	-1.66509810705669
GNA15	2769	3.10963314122069e-09	3.12382054370749
KIAA0040	9674	3.14473314734313e-09	-2.90610416002608
PHF8	23133	3.14473314734313e-09	-0.632371798552152
CLEC11A	6320	3.28127561391872e-09	1.55138339979932
GOLIM4	27333	3.2829468828992e-09	2.78840746111565
SLC4A1	6521	3.31519550904542e-09	2.92151844780045
ESCO2	157570	3.42708728930075e-09	2.185992878178
ZHX2	22882	3.50721767622864e-09	-1.92068477258617
ISG20	3669	3.58924849929019e-09	-2.03493521070521
ABHD17A	81926	3.59168258082593e-09	-0.910275649798182
PRUNE1	58497	3.60517832595299e-09	-1.39801888115079
RAVER2	55225	3.76877851368923e-09	2.20060073943877
SCARB1	949	3.79386579403464e-09	1.50875737345465
LRP12	29967	3.83334777471659e-09	2.01363546063719
KIAA1524	57650	3.90397678644764e-09	1.87584421784467
ADGRA3	166647	4.06260257710739e-09	2.24245628728571
ORC6	23594	4.16038866409496e-09	1.32120043146599
TEX2	55852	4.16986557995568e-09	1.33064840572109
SNTB2	6645	4.32120196715094e-09	-1.86022571342403
LTBP1	4052	4.38697267212984e-09	2.46006516774943
		4.41519401705462e-09	1.18955305687869
FANCA	2175	4.4760500956825e-09	1.16576626980499
GPT2	84706	4.51183642439612e-09	1.17305075020862
CD37	951	4.59308267546126e-09	-1.28341066445578
WHSC1	7468	4.6012673222431e-09	1.1608345180737
FABP5P3///FABP5	220832///2171	4.6012673222431e-09	2.18555297079252
		4.85559749220422e-09	-1.23858599838888
ZNF618	114991	4.98953021878065e-09	0.910840606757373
TECPR1	25851	5.14126507645529e-09	-1.00540277742857
EZH2	2146	5.38073324101584e-09	1.74279002396599
MIR221	407006	5.39385947744627e-09	2.52216713421089
STARD3	10948	5.58906397728643e-09	-0.690669309206348
LRP8	7804	5.68154858413335e-09	1.51025738251474
CCDC88A	55704	5.72395142895642e-09	2.74652024237416
CCNE1	898	5.75655010170183e-09	1.57367175200453
RBSN	64145	5.84984505967265e-09	-0.805482181081631
HLA-H///HLA-F///HLA-E///HLA-B///HLA-A///HLA-A	3136///3134///3133///3106///3105///3105	6.06971955635013e-09	-1.05710653972562
VOPP1	81552	6.23594515577481e-09	-1.19252994490476
CD34	947	6.28893022773743e-09	3.78719466711452
GUSB	2990	6.31243451888544e-09	1.34113647206916
PPP1R2	5504	6.31243451888544e-09	-1.05858278318028
EZH1	2145	6.50592172312299e-09	-1.09983766057823
ECE1	1889	6.5157813715151e-09	-2.28106991356236
EIF5AL1///EIF5A	143244///1984	6.78578035362916e-09	1.35431553607483
STIP1	10963	6.789060871976e-09	1.09298259005669
TWSG1	57045	6.97472077592312e-09	1.79006564266667
PRG2	5553	7.24719748719095e-09	1.89638459668708
TM7SF3	51768	7.42971466105606e-09	1.41015124526757
GCSAML	148823	7.50828763813053e-09	2.80025297073696
KIF24	347240	7.50828763813053e-09	0.806799482868483
PP13439	100128046	7.64743184036846e-09	1.82921319065079
LRRC59	55379	7.72119430686287e-09	0.87449731060431
FADS1	3992	7.75103968068840e-09	2.78004630070521
LINC00324	284029	8.0639313308877e-09	-1.68114106379365
		8.16904036918453e-09	-1.43859081495125
POLE2	5427	8.16904036918453e-09	1.71866472552948
PTH2R	5746	8.22330378686119e-09	1.73202670646939
APBB3	10307	8.24162329972874e-09	-0.851075488017004
PTTG1	9232	8.24162329972874e-09	1.27859597014853
ATP13A3	79572	8.413064058598e-09	1.18665510316213
ZNF24	7572	8.61188654563024e-09	-0.838763763081634
MAFG	4097	8.61188654563024e-09	1.50112516734921
		8.74838037649007e-09	2.28704996764853
TPM4	7171	9.39615202729514e-09	1.27049554186394
ZBTB18	10472	9.41376536410446e-09	-1.62807635476757
FABP5P3///FABP5	220832///2171	9.70244377096062e-09	2.11857596850227
GATA2	2624	9.83463335927536e-09	2.0773805972517
PLAU	5328	1.01353134492972e-08	1.47277311938776
RXFP1	59350	1.05404246377492e-08	2.17158276776984
CERS4	79603	1.05890681330567e-08	-1.11870283652267
ITGA9	3680	1.06653433978972e-08	2.63793711892744
CEP55	55165	1.07911576035143e-08	1.60427463340023
TTC33	23548	1.08266752659766e-08	-1.02107086177891
ATP1B1	481	1.14091891530717e-08	2.7184391124195
MEIS1	4211	1.14809998288768e-08	3.84381492650227
TRPC2	7221	1.1683250859421e-08	1.77405254803968
TOM1L1	10040	1.1683250859421e-08	2.2119411952551
KDELC1	79070	1.18477574459612e-08	2.13957726708617
SCML4	256380	1.22421361649686e-08	-2.14020081445692
HIST2H3D///HIST2H3A///HIST2H3C	653604///333932///126961	1.24083875928483e-08	2.12569820585375
EIF5AL1///EIF5A	143244///1984	1.24083875928483e-08	1.64859779235715
		1.25364920213339e-08	-0.970074139055551
SELENBP1	8991	1.27450295633883e-08	1.77047268059864
DHFR	1719	1.28419196447017e-08	1.42818901772336
PRKCZ	5590	1.33556373920033e-08	-1.19389072036734
GABBR1	2550	1.36135340926296e-08	-1.77997027335487
TNRC6C	57690	1.38819150495611e-08	-1.64153678674149
H2AFY	9555	1.43010464068026e-08	1.44378517851701
MAP7	9053	1.44190626416733e-08	2.07380500496372
MPDU1	9526	1.55698879734119e-08	1.42563371304422
RCN1	5954	1.55841600419151e-08	2.04870853658617
GON4L	54856	1.58058370266437e-08	-0.859314804987529
TCP1	6950	1.58270752625025e-08	1.25233957569842
ANKZF1	55139	1.60513849116862e-08	-0.974920242734692
TUSC2	11334	1.60903192906996e-08	-0.744456330701813
PFAS	5198	1.63150025393172e-08	1.03402248146145
RASSF3	283349	1.63492888863814e-08	-2.32466825160204
TFR2	7036	1.65871279682854e-08	1.29959887229705
LMNA	4000	1.65871279682854e-08	1.57332972708277
CNNM3	26505	1.68338598075198e-08	-0.86753364380839
ISCU	23479	1.68774513180255e-08	-0.975086078721082
TTC22	55001	1.69459965641724e-08	-1.17530211699773
SLAIN1	122060	1.70730882361186e-08	-2.39562579207483
ZNF394	84124	1.71665300114788e-08	-1.08486049841384
PLEKHA5	54477	1.71786234684891e-08	2.12466497021769
DMWD	1762	1.71786234684891e-08	-0.839183994467117
MYO18A///TIAF1	399687///9220	1.71786234684891e-08	0.76276814349093
MECP2	4204	1.71786234684891e-08	-1.02691718263832
NLRC5	84166	1.75256671621918e-08	-1.49382376401814
MIA3	375056	1.75402997092565e-08	-0.748083708207482
TBC1D10A	83874	1.77585517105691e-08	-1.24669711735374
KCTD3	51133	1.78016097564041e-08	2.54505579981406
VAMP2	6844	1.81227894068775e-08	-1.11006746076984
SEPP1	6414	1.81832434627349e-08	3.31207688986281
SPTA1	6708	1.83543976917154e-08	2.25458899526531
TRMO	51531	1.83543976917154e-08	-1.08516094915419
TCP11L2	255394	1.83986191164814e-08	-2.09064514736621
NET1	10276	1.88316272486124e-08	2.20809744878912
HSP90AA1	3320	1.90330656529278e-08	1.16422577768481
DPP3	10072	1.90784430855475e-08	1.30370475553515
STIM2	57620	1.90784430855475e-08	-1.1945423348424
BET1L	51272	1.91777603918375e-08	-0.920703952558952
TOM1L2	146691	1.92731822361783e-08	-0.846498451752833
HPGDS	27306	1.93432838179207e-08	2.94246814301928
GFI1	2672	1.98753118679792e-08	1.75293543885828
YPEL3	83719	2.05883362861691e-08	-1.61185730106689
C10orf11	83938	2.07673693095184e-08	2.51896990687755
TIRAP	114609	2.09296509805703e-08	-1.32100022000453
ZFAND2A	90637	2.13610034707881e-08	-0.955378042683671
LUZP1	7798	2.18122462292695e-08	1.56551068692291
SIN3B	23309	2.20841751849456e-08	-0.71648159215646
NUCB2	4925	2.25139608365736e-08	2.06134543418595
PRR11	55771	2.27921513335776e-08	2.11328645383447
DNAH14	127602	2.31374414209935e-08	1.35947658248299
TTLL12	23170	2.37152851316551e-08	0.691007213181409
METTL4	64863	2.39127088774797e-08	-1.26698293452267
KNL1	57082	2.50318455106967e-08	1.97556314109411
DEDD2	162989	2.52717111136991e-08	-1.25681933155328
FBXO43	286151	2.55695373369705e-08	0.867153950824263
SGPP1	81537	2.55965777999114e-08	-1.24103639651474
SEPT11	55752	2.56570111054297e-08	1.87587972209411
BYSL	705	2.6528522077425e-08	1.09233236322903
SEC16B	89866	2.71951590878068e-08	0.788173480212019
GINS3	64785	2.84974155333359e-08	1.41005554280159
LRP5	4041	2.85592379841824e-08	1.13310071163606
C19orf66	55337	2.87004101673283e-08	-0.845720461884349
CERS6	253782	3.01159510328757e-08	1.49213443320182
TRANK1	9881	3.01159510328757e-08	-1.82222723881292
